State,Parameters,Month,count,Year
Jammu & Kashmir,Respiratory Hospitalizations,April,692.0,2019.0
Jammu & Kashmir,Asthma/COPD Cases,April,1908.0,2019.0
Jammu & Kashmir,Respiratory Mortality,April,5.0,2019.0
Jammu & Kashmir,Respiratory Mortality,April,29.0,2019.0
Jharkhand,Other Respiratory Illness Cases,April,183.0,2019.0
Jharkhand,Asthma Cases,April,36.0,2019.0
Jharkhand,Respiratory Hospitalizations,April,707.0,2019.0
Jharkhand,Asthma/COPD Cases,April,480.0,2019.0
Jharkhand,Respiratory Mortality,April,4.0,2019.0
Jharkhand,Respiratory Mortality,April,22.0,2019.0
Karnataka,Other Respiratory Illness Cases,April,2198.0,2019.0
Karnataka,Asthma Cases,April,1435.0,2019.0
Karnataka,Respiratory Hospitalizations,April,3681.0,2019.0
Karnataka,Asthma/COPD Cases,April,15101.0,2019.0
Karnataka,Respiratory Mortality,April,10.0,2019.0
Karnataka,Respiratory Mortality,April,727.0,2019.0
Kerala,Other Respiratory Illness Cases,April,847.0,2019.0
Kerala,Asthma Cases,April,1051.0,2019.0
Kerala,Respiratory Hospitalizations,April,4406.0,2019.0
Kerala,Asthma/COPD Cases,April,6940.0,2019.0
Kerala,Respiratory Mortality,April,1.0,2019.0
Kerala,Respiratory Mortality,April,129.0,2019.0
Lakshadweep,Other Respiratory Illness Cases,April,0.0,2019.0
Lakshadweep,Asthma Cases,April,11.0,2019.0
Lakshadweep,Respiratory Hospitalizations,April,6.0,2019.0
Lakshadweep,Asthma/COPD Cases,April,28.0,2019.0
Lakshadweep,Respiratory Mortality,April,0.0,2019.0
Lakshadweep,Respiratory Mortality,April,1.0,2019.0
Madhya Pradesh,Other Respiratory Illness Cases,April,2626.0,2019.0
Madhya Pradesh,Asthma Cases,April,392.0,2019.0
Madhya Pradesh,Respiratory Hospitalizations,April,2252.0,2019.0
Madhya Pradesh,Asthma/COPD Cases,April,6267.0,2019.0
Madhya Pradesh,Respiratory Mortality,April,19.0,2019.0
Madhya Pradesh,Respiratory Mortality,April,310.0,2019.0
Maharashtra,Other Respiratory Illness Cases,April,1232.0,2019.0
Maharashtra,Asthma Cases,April,401.0,2019.0
Maharashtra,Respiratory Hospitalizations,April,1650.0,2019.0
Maharashtra,Asthma/COPD Cases,April,5811.0,2019.0
Maharashtra,Respiratory Mortality,April,23.0,2019.0
Maharashtra,Respiratory Mortality,April,1207.0,2019.0
Manipur,Other Respiratory Illness Cases,April,101.0,2019.0
Manipur,Asthma Cases,April,5.0,2019.0
Manipur,Respiratory Hospitalizations,April,83.0,2019.0
Manipur,Asthma/COPD Cases,April,107.0,2019.0
Manipur,Respiratory Mortality,April,0.0,2019.0
Manipur,Respiratory Mortality,April,5.0,2019.0
Meghalaya,Other Respiratory Illness Cases,April,312.0,2019.0
Meghalaya,Asthma Cases,April,49.0,2019.0
Meghalaya,Respiratory Hospitalizations,April,973.0,2019.0
Meghalaya,Asthma/COPD Cases,April,1062.0,2019.0
Meghalaya,Respiratory Mortality,April,10.0,2019.0
Meghalaya,Respiratory Mortality,April,37.0,2019.0
Mizoram,Other Respiratory Illness Cases,April,100.0,2019.0
Mizoram,Asthma Cases,April,7.0,2019.0
Mizoram,Respiratory Hospitalizations,April,555.0,2019.0
Mizoram,Asthma/COPD Cases,April,251.0,2019.0
Mizoram,Respiratory Mortality,April,2.0,2019.0
Mizoram,Respiratory Mortality,April,25.0,2019.0
Nagaland,Other Respiratory Illness Cases,April,41.0,2019.0
Nagaland,Asthma Cases,April,7.0,2019.0
Nagaland,Respiratory Hospitalizations,April,44.0,2019.0
Nagaland,Asthma/COPD Cases,April,206.0,2019.0
Nagaland,Respiratory Mortality,April,1.0,2019.0
Nagaland,Respiratory Mortality,April,6.0,2019.0
Odisha,Other Respiratory Illness Cases,April,1168.0,2019.0
Odisha,Asthma Cases,April,1028.0,2019.0
Odisha,Respiratory Hospitalizations,April,2307.0,2019.0
Odisha,Asthma/COPD Cases,April,5620.0,2019.0
Odisha,Respiratory Mortality,April,16.0,2019.0
Odisha,Respiratory Mortality,April,149.0,2019.0
Puducherry,Other Respiratory Illness Cases,April,122.0,2019.0
Puducherry,Asthma Cases,April,154.0,2019.0
Puducherry,Respiratory Hospitalizations,April,125.0,2019.0
Puducherry,Asthma/COPD Cases,April,578.0,2019.0
Puducherry,Respiratory Mortality,April,0.0,2019.0
Puducherry,Respiratory Mortality,April,9.0,2019.0
Punjab,Other Respiratory Illness Cases,April,631.0,2019.0
Punjab,Asthma Cases,April,936.0,2019.0
Punjab,Respiratory Hospitalizations,April,341.0,2019.0
Punjab,Asthma/COPD Cases,April,1867.0,2019.0
Punjab,Respiratory Mortality,April,1.0,2019.0
Punjab,Respiratory Mortality,April,145.0,2019.0
Rajasthan,Other Respiratory Illness Cases,April,4975.0,2019.0
Rajasthan,Asthma Cases,April,2030.0,2019.0
Rajasthan,Respiratory Hospitalizations,April,2253.0,2019.0
Rajasthan,Asthma/COPD Cases,April,12930.0,2019.0
Rajasthan,Respiratory Mortality,April,22.0,2019.0
Rajasthan,Respiratory Mortality,April,380.0,2019.0
Sikkim,Other Respiratory Illness Cases,April,20,2019.0
Sikkim,Asthma Cases,April,0,2019.0
Sikkim,Respiratory Hospitalizations,April,290,2019.0
Sikkim,Asthma/COPD Cases,April,59,2019.0
Sikkim,Respiratory Mortality,April,0,2019.0
Sikkim,Respiratory Mortality,April,7,2019.0
Tamil Nadu,Other Respiratory Illness Cases,April,425,2019.0
Tamil Nadu,Asthma Cases,April,264,2019.0
Tamil Nadu,Respiratory Hospitalizations,April,64922,2019.0
Tamil Nadu,Asthma/COPD Cases,April,7339,2019.0
Tamil Nadu,Respiratory Mortality,April,4,2019.0
Tamil Nadu,Respiratory Mortality,April,370,2019.0
Telangana,Other Respiratory Illness Cases,April,346,2019.0
Telangana,Asthma Cases,April,812,2019.0
Telangana,Respiratory Hospitalizations,April,666,2019.0
Telangana,Asthma/COPD Cases,April,2395,2019.0
Telangana,Respiratory Mortality,April,3,2019.0
Telangana,Respiratory Mortality,April,93,2019.0
Tripura,Other Respiratory Illness Cases,April,124,2019.0
Tripura,Asthma Cases,April,32,2019.0
Tripura,Respiratory Hospitalizations,April,517,2019.0
Tripura,Asthma/COPD Cases,April,1170,2019.0
Tripura,Respiratory Mortality,April,0,2019.0
Tripura,Respiratory Mortality,April,27,2019.0
Uttar Pradesh,Other Respiratory Illness Cases,April,6387,2019.0
Uttar Pradesh,Asthma Cases,April,2660,2019.0
Uttar Pradesh,Respiratory Hospitalizations,April,3690,2019.0
Uttar Pradesh,Asthma/COPD Cases,April,17475,2019.0
Uttar Pradesh,Respiratory Mortality,April,10,2019.0
Uttar Pradesh,Respiratory Mortality,April,218,2019.0
Uttarakhand,Other Respiratory Illness Cases,April,300,2019.0
Uttarakhand,Asthma Cases,April,121,2019.0
Uttarakhand,Respiratory Hospitalizations,April,298,2019.0
Uttarakhand,Asthma/COPD Cases,April,636,2019.0
Uttarakhand,Respiratory Mortality,April,0,2019.0
Uttarakhand,Respiratory Mortality,April,37,2019.0
West Bengal,Other Respiratory Illness Cases,April,1611,2019.0
West Bengal,Asthma Cases,April,585,2019.0
West Bengal,Respiratory Hospitalizations,April,6213,2019.0
West Bengal,Asthma/COPD Cases,April,21988,2019.0
West Bengal,Respiratory Mortality,April,32,2019.0
West Bengal,Respiratory Mortality,April,1041,2019.0
A & N Islands,Other Respiratory Illness Cases,April,0.0,2019.0
A & N Islands,Asthma Cases,April,0.0,2019.0
A & N Islands,Respiratory Hospitalizations,April,34.0,2019.0
A & N Islands,Asthma/COPD Cases,April,116.0,2019.0
A & N Islands,Respiratory Mortality,April,0.0,2019.0
A & N Islands,Respiratory Mortality,April,0.0,2019.0
Andhra Pradesh,Other Respiratory Illness Cases,April,1007.0,2019.0
Andhra Pradesh,Asthma Cases,April,721.0,2019.0
Andhra Pradesh,Respiratory Hospitalizations,April,1099.0,2019.0
Andhra Pradesh,Asthma/COPD Cases,April,10915.0,2019.0
Andhra Pradesh,Respiratory Mortality,April,14.0,2019.0
Andhra Pradesh,Respiratory Mortality,April,389.0,2019.0
Arunachal Pradesh,Other Respiratory Illness Cases,April,19.0,2019.0
Arunachal Pradesh,Asthma Cases,April,7.0,2019.0
Arunachal Pradesh,Respiratory Hospitalizations,April,98.0,2019.0
Arunachal Pradesh,Asthma/COPD Cases,April,102.0,2019.0
Arunachal Pradesh,Respiratory Mortality,April,0.0,2019.0
Arunachal Pradesh,Respiratory Mortality,April,5.0,2019.0
Assam,Other Respiratory Illness Cases,April,695.0,2019.0
Assam,Asthma Cases,April,155.0,2019.0
Assam,Respiratory Hospitalizations,April,620.0,2019.0
Assam,Asthma/COPD Cases,April,1931.0,2019.0
Assam,Respiratory Mortality,April,12.0,2019.0
Assam,Respiratory Mortality,April,121.0,2019.0
Bihar,Other Respiratory Illness Cases,April,422.0,2019.0
Bihar,Asthma Cases,April,242.0,2019.0
Bihar,Respiratory Hospitalizations,April,550.0,2019.0
Bihar,Asthma/COPD Cases,April,949.0,2019.0
Bihar,Respiratory Mortality,April,7.0,2019.0
Bihar,Respiratory Mortality,April,18.0,2019.0
Chandigarh,Other Respiratory Illness Cases,April,506.0,2019.0
Chandigarh,Asthma Cases,April,226.0,2019.0
Chandigarh,Respiratory Hospitalizations,April,336.0,2019.0
Chandigarh,Asthma/COPD Cases,April,126.0,2019.0
Chandigarh,Respiratory Mortality,April,3.0,2019.0
Chandigarh,Respiratory Mortality,April,23.0,2019.0
Chhattisgarh,Other Respiratory Illness Cases,April,333.0,2019.0
Chhattisgarh,Asthma Cases,April,58.0,2019.0
Chhattisgarh,Respiratory Hospitalizations,April,649.0,2019.0
Chhattisgarh,Asthma/COPD Cases,April,1419.0,2019.0
Chhattisgarh,Respiratory Mortality,April,6.0,2019.0
Chhattisgarh,Respiratory Mortality,April,65.0,2019.0
Dadra & Nagar Haveli,Other Respiratory Illness Cases,April,6.0,2019.0
Dadra & Nagar Haveli,Asthma Cases,April,3.0,2019.0
Dadra & Nagar Haveli,Respiratory Hospitalizations,April,69.0,2019.0
Dadra & Nagar Haveli,Asthma/COPD Cases,April,70.0,2019.0
Dadra & Nagar Haveli,Respiratory Mortality,April,0.0,2019.0
Dadra & Nagar Haveli,Respiratory Mortality,April,2.0,2019.0
Daman & Diu,Other Respiratory Illness Cases,April,0.0,2019.0
Daman & Diu,Asthma Cases,April,0.0,2019.0
Daman & Diu,Respiratory Hospitalizations,April,10.0,2019.0
Daman & Diu,Asthma/COPD Cases,April,67.0,2019.0
Daman & Diu,Respiratory Mortality,April,0.0,2019.0
Daman & Diu,Respiratory Mortality,April,0.0,2019.0
Delhi,Other Respiratory Illness Cases,April,1539.0,2019.0
Delhi,Asthma Cases,April,891.0,2019.0
Delhi,Respiratory Hospitalizations,April,269.0,2019.0
Delhi,Asthma/COPD Cases,April,496.0,2019.0
Delhi,Respiratory Mortality,April,16.0,2019.0
Delhi,Respiratory Mortality,April,75.0,2019.0
Goa,Other Respiratory Illness Cases,April,55.0,2019.0
Goa,Asthma Cases,April,17.0,2019.0
Goa,Respiratory Hospitalizations,April,125.0,2019.0
Goa,Asthma/COPD Cases,April,343.0,2019.0
Goa,Respiratory Mortality,April,0.0,2019.0
Goa,Respiratory Mortality,April,3.0,2019.0
Gujarat,Other Respiratory Illness Cases,April,532.0,2019.0
Gujarat,Asthma Cases,April,255.0,2019.0
Gujarat,Respiratory Hospitalizations,April,2209.0,2019.0
Gujarat,Asthma/COPD Cases,April,4812.0,2019.0
Gujarat,Respiratory Mortality,April,21.0,2019.0
Gujarat,Respiratory Mortality,April,571.0,2019.0
Haryana,Other Respiratory Illness Cases,April,366.0,2019.0
Haryana,Asthma Cases,April,320.0,2019.0
Haryana,Respiratory Hospitalizations,April,523.0,2019.0
Haryana,Asthma/COPD Cases,April,3111.0,2019.0
Haryana,Respiratory Mortality,April,4.0,2019.0
Haryana,Respiratory Mortality,April,225.0,2019.0
Himachal Pradesh,Other Respiratory Illness Cases,April,261.0,2019.0
Himachal Pradesh,Asthma Cases,April,17.0,2019.0
Himachal Pradesh,Respiratory Hospitalizations,April,293.0,2019.0
Himachal Pradesh,Asthma/COPD Cases,April,1965.0,2019.0
Himachal Pradesh,Respiratory Mortality,April,2.0,2019.0
Himachal Pradesh,Respiratory Mortality,April,47.0,2019.0
Jammu & Kashmir,Other Respiratory Illness Cases,April,309.0,2019.0
Jammu & Kashmir,Asthma Cases,April,254.0,2019.0
Jammu & Kashmir,Respiratory Hospitalizations,April,683.0,2019.0
Jammu & Kashmir,Asthma/COPD Cases,April,1908.0,2019.0
Jammu & Kashmir,Respiratory Mortality,April,5.0,2019.0
Jammu & Kashmir,Respiratory Mortality,April,29.0,2019.0
Jharkhand,Other Respiratory Illness Cases,April,170.0,2019.0
Jharkhand,Asthma Cases,April,13.0,2019.0
Jharkhand,Respiratory Hospitalizations,April,653.0,2019.0
Jharkhand,Asthma/COPD Cases,April,415.0,2019.0
Jharkhand,Respiratory Mortality,April,4.0,2019.0
Jharkhand,Respiratory Mortality,April,22.0,2019.0
Karnataka,Other Respiratory Illness Cases,April,1874.0,2019.0
Karnataka,Asthma Cases,April,1238.0,2019.0
Karnataka,Respiratory Hospitalizations,April,3028.0,2019.0
Karnataka,Asthma/COPD Cases,April,12558.0,2019.0
Karnataka,Respiratory Mortality,April,8.0,2019.0
Karnataka,Respiratory Mortality,April,677.0,2019.0
Kerala,Other Respiratory Illness Cases,April,292.0,2019.0
Kerala,Asthma Cases,April,430.0,2019.0
Kerala,Respiratory Hospitalizations,April,2252.0,2019.0
Kerala,Asthma/COPD Cases,April,4368.0,2019.0
Kerala,Respiratory Mortality,April,1.0,2019.0
Kerala,Respiratory Mortality,April,65.0,2019.0
Lakshadweep,Other Respiratory Illness Cases,April,0.0,2019.0
Lakshadweep,Asthma Cases,April,11.0,2019.0
Lakshadweep,Respiratory Hospitalizations,April,6.0,2019.0
Lakshadweep,Asthma/COPD Cases,April,28.0,2019.0
Lakshadweep,Respiratory Mortality,April,0.0,2019.0
Lakshadweep,Respiratory Mortality,April,1.0,2019.0
Madhya Pradesh,Other Respiratory Illness Cases,April,2453.0,2019.0
Madhya Pradesh,Asthma Cases,April,343.0,2019.0
Madhya Pradesh,Respiratory Hospitalizations,April,1945.0,2019.0
Madhya Pradesh,Asthma/COPD Cases,April,4753.0,2019.0
Madhya Pradesh,Respiratory Mortality,April,17.0,2019.0
Madhya Pradesh,Respiratory Mortality,April,270.0,2019.0
Maharashtra,Other Respiratory Illness Cases,April,1082.0,2019.0
Maharashtra,Asthma Cases,April,370.0,2019.0
Maharashtra,Respiratory Hospitalizations,April,1528.0,2019.0
Maharashtra,Asthma/COPD Cases,April,5810.0,2019.0
Maharashtra,Respiratory Mortality,April,19.0,2019.0
Maharashtra,Respiratory Mortality,April,952.0,2019.0
Manipur,Other Respiratory Illness Cases,April,97.0,2019.0
Manipur,Asthma Cases,April,4.0,2019.0
Manipur,Respiratory Hospitalizations,April,63.0,2019.0
Manipur,Asthma/COPD Cases,April,98.0,2019.0
Manipur,Respiratory Mortality,April,0.0,2019.0
Manipur,Respiratory Mortality,April,5.0,2019.0
Meghalaya,Other Respiratory Illness Cases,April,207.0,2019.0
Meghalaya,Asthma Cases,April,44.0,2019.0
Meghalaya,Respiratory Hospitalizations,April,735.0,2019.0
Meghalaya,Asthma/COPD Cases,April,709.0,2019.0
Meghalaya,Respiratory Mortality,April,8.0,2019.0
Meghalaya,Respiratory Mortality,April,32.0,2019.0
Mizoram,Other Respiratory Illness Cases,April,83.0,2019.0
Mizoram,Asthma Cases,April,2.0,2019.0
Mizoram,Respiratory Hospitalizations,April,504.0,2019.0
Mizoram,Asthma/COPD Cases,April,175.0,2019.0
Mizoram,Respiratory Mortality,April,2.0,2019.0
Mizoram,Respiratory Mortality,April,22.0,2019.0
Nagaland,Other Respiratory Illness Cases,April,31.0,2019.0
Nagaland,Asthma Cases,April,5.0,2019.0
Nagaland,Respiratory Hospitalizations,April,24.0,2019.0
Nagaland,Asthma/COPD Cases,April,148.0,2019.0
Nagaland,Respiratory Mortality,April,1.0,2019.0
Nagaland,Respiratory Mortality,April,4.0,2019.0
Odisha,Other Respiratory Illness Cases,April,1143.0,2019.0
Odisha,Asthma Cases,April,949.0,2019.0
Odisha,Respiratory Hospitalizations,April,2212.0,2019.0
Odisha,Asthma/COPD Cases,April,5363.0,2019.0
Odisha,Respiratory Mortality,April,16.0,2019.0
Odisha,Respiratory Mortality,April,144.0,2019.0
Puducherry,Other Respiratory Illness Cases,April,121.0,2019.0
Puducherry,Asthma Cases,April,153.0,2019.0
Puducherry,Respiratory Hospitalizations,April,125.0,2019.0
Puducherry,Asthma/COPD Cases,April,562.0,2019.0
Puducherry,Respiratory Mortality,April,0.0,2019.0
Puducherry,Respiratory Mortality,April,8.0,2019.0
Punjab,Other Respiratory Illness Cases,April,631.0,2019.0
Punjab,Asthma Cases,April,936.0,2019.0
Punjab,Respiratory Hospitalizations,April,341.0,2019.0
Punjab,Asthma/COPD Cases,April,1866.0,2019.0
Punjab,Respiratory Mortality,April,1.0,2019.0
Punjab,Respiratory Mortality,April,145.0,2019.0
Rajasthan,Other Respiratory Illness Cases,April,4971.0,2019.0
Rajasthan,Asthma Cases,April,2029.0,2019.0
Rajasthan,Respiratory Hospitalizations,April,2243.0,2019.0
Rajasthan,Asthma/COPD Cases,April,12929.0,2019.0
Rajasthan,Respiratory Mortality,April,22.0,2019.0
Rajasthan,Respiratory Mortality,April,380.0,2019.0
Sikkim,Other Respiratory Illness Cases,April,20.0,2019.0
Sikkim,Asthma Cases,April,0.0,2019.0
Sikkim,Respiratory Hospitalizations,April,290.0,2019.0
Sikkim,Asthma/COPD Cases,April,59.0,2019.0
Sikkim,Respiratory Mortality,April,0.0,2019.0
Sikkim,Respiratory Mortality,April,7.0,2019.0
Tamil Nadu,Other Respiratory Illness Cases,April,425.0,2019.0
Tamil Nadu,Asthma Cases,April,264.0,2019.0
Tamil Nadu,Respiratory Hospitalizations,April,64922.0,2019.0
Tamil Nadu,Asthma/COPD Cases,April,7339.0,2019.0
Tamil Nadu,Respiratory Mortality,April,4.0,2019.0
Tamil Nadu,Respiratory Mortality,April,370.0,2019.0
Telangana,Other Respiratory Illness Cases,April,346.0,2019.0
Telangana,Asthma Cases,April,812.0,2019.0
Telangana,Respiratory Hospitalizations,April,658.0,2019.0
Telangana,Asthma/COPD Cases,April,2394.0,2019.0
Telangana,Respiratory Mortality,April,3.0,2019.0
Telangana,Respiratory Mortality,April,93.0,2019.0
Tripura,Other Respiratory Illness Cases,April,122.0,2019.0
Tripura,Asthma Cases,April,32.0,2019.0
Tripura,Respiratory Hospitalizations,April,517.0,2019.0
Tripura,Asthma/COPD Cases,April,1170.0,2019.0
Tripura,Respiratory Mortality,April,0.0,2019.0
Tripura,Respiratory Mortality,April,19.0,2019.0
Uttar Pradesh,Other Respiratory Illness Cases,April,6268.0,2019.0
Uttar Pradesh,Asthma Cases,April,2447.0,2019.0
Uttar Pradesh,Respiratory Hospitalizations,April,3650.0,2019.0
Uttar Pradesh,Asthma/COPD Cases,April,17307.0,2019.0
Uttar Pradesh,Respiratory Mortality,April,10.0,2019.0
Uttar Pradesh,Respiratory Mortality,April,218.0,2019.0
Uttarakhand,Other Respiratory Illness Cases,April,300.0,2019.0
Uttarakhand,Asthma Cases,April,121.0,2019.0
Uttarakhand,Respiratory Hospitalizations,April,297.0,2019.0
Uttarakhand,Asthma/COPD Cases,April,632.0,2019.0
Uttarakhand,Respiratory Mortality,April,0.0,2019.0
Uttarakhand,Respiratory Mortality,April,37.0,2019.0
West Bengal,Other Respiratory Illness Cases,April,1560.0,2019.0
West Bengal,Asthma Cases,April,585.0,2019.0
West Bengal,Respiratory Hospitalizations,April,6209.0,2019.0
West Bengal,Asthma/COPD Cases,April,21863.0,2019.0
West Bengal,Respiratory Mortality,April,32.0,2019.0
West Bengal,Respiratory Mortality,April,1034.0,2019.0
Andhra Pradesh,Other Respiratory Illness Cases,April,23.0,2019.0
Andhra Pradesh,Asthma Cases,April,2.0,2019.0
Andhra Pradesh,Respiratory Hospitalizations,April,13.0,2019.0
Andhra Pradesh,Asthma/COPD Cases,April,0.0,2019.0
Andhra Pradesh,Respiratory Mortality,April,0.0,2019.0
Andhra Pradesh,Respiratory Mortality,April,0.0,2019.0
Arunachal Pradesh,Other Respiratory Illness Cases,April,0.0,2019.0
Arunachal Pradesh,Asthma Cases,April,0.0,2019.0
Arunachal Pradesh,Respiratory Hospitalizations,April,6.0,2019.0
Arunachal Pradesh,Asthma/COPD Cases,April,23.0,2019.0
Arunachal Pradesh,Respiratory Mortality,April,0.0,2019.0
Arunachal Pradesh,Respiratory Mortality,April,0.0,2019.0
Assam,Other Respiratory Illness Cases,April,115.0,2019.0
Assam,Asthma Cases,April,87.0,2019.0
Assam,Respiratory Hospitalizations,April,446.0,2019.0
Assam,Asthma/COPD Cases,April,801.0,2019.0
Assam,Respiratory Mortality,April,3.0,2019.0
Assam,Respiratory Mortality,April,5.0,2019.0
Bihar,Other Respiratory Illness Cases,April,38.0,2019.0
Bihar,Asthma Cases,April,0.0,2019.0
Bihar,Respiratory Hospitalizations,April,0.0,2019.0
Bihar,Asthma/COPD Cases,April,76.0,2019.0
Bihar,Respiratory Mortality,April,0.0,2019.0
Bihar,Respiratory Mortality,April,0.0,2019.0
Chhattisgarh,Other Respiratory Illness Cases,April,107.0,2019.0
Chhattisgarh,Asthma Cases,April,29.0,2019.0
Chhattisgarh,Respiratory Hospitalizations,April,826.0,2019.0
Chhattisgarh,Asthma/COPD Cases,April,225.0,2019.0
Chhattisgarh,Respiratory Mortality,April,0.0,2019.0
Chhattisgarh,Respiratory Mortality,April,0.0,2019.0
Daman & Diu,Other Respiratory Illness Cases,April,0.0,2019.0
Daman & Diu,Asthma Cases,April,0.0,2019.0
Daman & Diu,Respiratory Hospitalizations,April,0.0,2019.0
Daman & Diu,Asthma/COPD Cases,April,0.0,2019.0
Delhi,Other Respiratory Illness Cases,April,473.0,2019.0
Delhi,Asthma Cases,April,385.0,2019.0
Delhi,Respiratory Hospitalizations,April,319.0,2019.0
Delhi,Asthma/COPD Cases,April,2585.0,2019.0
Delhi,Respiratory Mortality,April,0.0,2019.0
Delhi,Respiratory Mortality,April,104.0,2019.0
Goa,Other Respiratory Illness Cases,April,0.0,2019.0
Goa,Asthma Cases,April,2.0,2019.0
Goa,Respiratory Hospitalizations,April,0.0,2019.0
Goa,Asthma/COPD Cases,April,0.0,2019.0
Goa,Respiratory Mortality,April,0.0,2019.0
